,Date_reported, Country, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,population in millions,new deaths per million ,target
1419,2020-02-07,Italy,1.0,7.0,0.0,0.0,60.36,0.0,0.0
1420,2020-02-08,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1421,2020-02-09,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1422,2020-02-10,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1423,2020-02-11,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1424,2020-02-12,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1425,2020-02-13,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1426,2020-02-14,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1427,2020-02-15,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1428,2020-02-16,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1429,2020-02-17,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1430,2020-02-18,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1431,2020-02-19,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1432,2020-02-20,Italy,0.0,7.0,0.0,0.0,60.36,0.0,0.0
1433,2020-02-21,Italy,1.0,8.0,0.0,0.0,60.36,0.0,0.0
1434,2020-02-22,Italy,7.0,15.0,2.0,2.0,60.36,0.03313452617627568,0.0
1435,2020-02-23,Italy,113.0,128.0,0.0,2.0,60.36,0.0,1.0
1436,2020-02-24,Italy,105.0,233.0,5.0,7.0,60.36,0.0828363154406892,1.0
1437,2020-02-25,Italy,93.0,326.0,5.0,12.0,60.36,0.0828363154406892,1.0
1438,2020-02-26,Italy,78.0,404.0,0.0,12.0,60.36,0.0,1.0
1439,2020-02-27,Italy,250.0,654.0,5.0,17.0,60.36,0.0828363154406892,1.0
1440,2020-02-28,Italy,238.0,892.0,4.0,21.0,60.36,0.06626905235255136,1.0
1441,2020-02-29,Italy,240.0,1132.0,8.0,29.0,60.36,0.13253810470510272,1.0
1442,2020-03-01,Italy,561.0,1693.0,6.0,35.0,60.36,0.09940357852882704,1.0
1443,2020-03-02,Italy,347.0,2040.0,17.0,52.0,60.36,0.28164347249834326,1.0
1444,2020-03-03,Italy,466.0,2506.0,28.0,80.0,60.36,0.4638833664678595,1.0
1445,2020-03-04,Italy,587.0,3093.0,27.0,107.0,60.36,0.44731610337972166,1.0
1446,2020-03-05,Italy,769.0,3862.0,41.0,148.0,60.36,0.6792577866136514,1.0
1447,2020-03-06,Italy,778.0,4640.0,49.0,197.0,60.36,0.8117958913187542,1.0
1448,2020-03-07,Italy,1247.0,5887.0,37.0,234.0,60.36,0.6129887342611001,2.0
1449,2020-03-08,Italy,1492.0,7379.0,132.0,366.0,60.36,2.1868787276341948,2.0
1450,2020-03-09,Italy,1797.0,9176.0,97.0,463.0,60.36,1.6070245195493704,2.0
1451,2020-03-10,Italy,977.0,10153.0,168.0,631.0,60.36,2.783300198807157,2.0
1452,2020-03-11,Italy,2313.0,12466.0,196.0,827.0,60.36,3.2471835652750167,2.0
1453,2020-03-12,Italy,2651.0,15117.0,189.0,1016.0,60.36,3.131212723658052,2.0
1454,2020-03-13,Italy,2547.0,17664.0,252.0,1268.0,60.36,4.174950298210736,2.0
1455,2020-03-14,Italy,3497.0,21161.0,173.0,1441.0,60.36,2.866136514247846,2.0
1456,2020-03-15,Italy,3590.0,24751.0,368.0,1809.0,60.36,6.096752816434725,2.0
1457,2020-03-16,Italy,3233.0,27984.0,349.0,2158.0,60.36,5.781974817760106,2.0
1458,2020-03-17,Italy,3526.0,31510.0,347.0,2505.0,60.36,5.74884029158383,2.0
1459,2020-03-18,Italy,4207.0,35717.0,473.0,2978.0,60.36,7.836315440689198,2.0
1460,2020-03-19,Italy,5318.0,41035.0,429.0,3407.0,60.36,7.107355864811133,2.0
1461,2020-03-20,Italy,5986.0,47021.0,625.0,4032.0,60.36,10.35453943008615,2.0
1462,2020-03-21,Italy,6557.0,53578.0,795.0,4827.0,60.36,13.170974155069583,3.0
1463,2020-03-22,Italy,0.0,53578.0,0.0,4827.0,60.36,0.0,0.0
1464,2020-03-23,Italy,5560.0,59138.0,649.0,5476.0,60.36,10.752153744201458,2.0
1465,2020-03-24,Italy,4789.0,63927.0,601.0,6077.0,60.36,9.956925115970842,2.0
1466,2020-03-25,Italy,5249.0,69176.0,743.0,6820.0,60.36,12.309476474486415,2.0
1467,2020-03-26,Italy,5210.0,74386.0,685.0,7505.0,60.36,11.34857521537442,2.0
1468,2020-03-27,Italy,6153.0,80539.0,660.0,8165.0,60.36,10.934393638170974,3.0
1469,2020-03-28,Italy,5959.0,86498.0,971.0,9136.0,60.36,16.086812458581843,2.0
1470,2020-03-29,Italy,5974.0,92472.0,887.0,10023.0,60.36,14.695162359178264,2.0
1471,2020-03-30,Italy,5217.0,97689.0,758.0,10781.0,60.36,12.557985420808482,2.0
1472,2020-03-31,Italy,4050.0,101739.0,810.0,11591.0,60.36,13.41948310139165,2.0
1473,2020-04-01,Italy,4053.0,105792.0,839.0,12430.0,60.36,13.899933730947648,2.0
1474,2020-04-02,Italy,4782.0,110574.0,727.0,13157.0,60.36,12.04440026507621,2.0
1475,2020-04-03,Italy,4668.0,115242.0,760.0,13917.0,60.36,12.591119946984758,2.0
1476,2020-04-04,Italy,4585.0,119827.0,764.0,14681.0,60.36,12.657388999337309,2.0
1477,2020-04-05,Italy,4805.0,124632.0,681.0,15362.0,60.36,11.282306163021868,2.0
1478,2020-04-06,Italy,4316.0,128948.0,527.0,15889.0,60.36,8.730947647448641,2.0
1479,2020-04-07,Italy,3599.0,132547.0,636.0,16525.0,60.36,10.536779324055667,2.0
1480,2020-04-08,Italy,3039.0,135586.0,604.0,17129.0,60.36,10.006626905235255,2.0
1481,2020-04-09,Italy,3836.0,139422.0,540.0,17669.0,60.36,8.946322067594433,2.0
1482,2020-04-10,Italy,4204.0,143626.0,612.0,18281.0,60.36,10.139165009940358,2.0
1483,2020-04-11,Italy,3951.0,147577.0,570.0,18851.0,60.36,9.44333996023857,2.0
1484,2020-04-12,Italy,4694.0,152271.0,619.0,19470.0,60.36,10.255135851557323,2.0
1485,2020-04-13,Italy,4092.0,156363.0,431.0,19901.0,60.36,7.140490390987409,2.0
1486,2020-04-14,Italy,3153.0,159516.0,564.0,20465.0,60.36,9.343936381709742,2.0
1487,2020-04-15,Italy,2972.0,162488.0,604.0,21069.0,60.36,10.006626905235255,2.0
1488,2020-04-16,Italy,2667.0,165155.0,578.0,21647.0,60.36,9.575878064943671,2.0
1489,2020-04-17,Italy,3786.0,168941.0,525.0,22172.0,60.36,8.697813121272366,2.0
1490,2020-04-18,Italy,3493.0,172434.0,575.0,22747.0,60.36,9.526176275679259,2.0
1491,2020-04-19,Italy,3491.0,175925.0,480.0,23227.0,60.36,7.952286282306163,2.0
1492,2020-04-20,Italy,3047.0,178972.0,433.0,23660.0,60.36,7.173624917163685,2.0
1493,2020-04-21,Italy,2256.0,181228.0,454.0,24114.0,60.36,7.521537442014579,2.0
1494,2020-04-22,Italy,2729.0,183957.0,534.0,24648.0,60.36,8.846918489065606,2.0
1495,2020-04-23,Italy,3370.0,187327.0,437.0,25085.0,60.36,7.239893969516236,2.0
1496,2020-04-24,Italy,2646.0,189973.0,464.0,25549.0,60.36,7.687210072895958,2.0
1497,2020-04-25,Italy,3021.0,192994.0,420.0,25969.0,60.36,6.958250497017893,2.0
1498,2020-04-26,Italy,2357.0,195351.0,415.0,26384.0,60.36,6.875414181577203,2.0
1499,2020-04-27,Italy,2324.0,197675.0,260.0,26644.0,60.36,4.307488402915839,2.0
1500,2020-04-28,Italy,1739.0,199414.0,333.0,26977.0,60.36,5.5168986083499005,2.0
1501,2020-04-29,Italy,2091.0,201505.0,382.0,27359.0,60.36,6.3286944996686545,2.0
1502,2020-04-30,Italy,2086.0,203591.0,323.0,27682.0,60.36,5.3512259774685225,2.0
1503,2020-05-01,Italy,1872.0,205463.0,285.0,27967.0,60.36,4.721669980119285,2.0
1504,2020-05-02,Italy,1965.0,207428.0,269.0,28236.0,60.36,4.456593770709079,2.0
1505,2020-05-03,Italy,1900.0,209328.0,474.0,28710.0,60.36,7.852882703777336,2.0
1506,2020-05-04,Italy,1389.0,210717.0,174.0,28884.0,60.36,2.8827037773359843,2.0
1507,2020-05-05,Italy,1221.0,211938.0,195.0,29079.0,60.36,3.2306163021868786,2.0
1508,2020-05-06,Italy,1075.0,213013.0,236.0,29315.0,60.36,3.9098740888005303,2.0
1509,2020-05-07,Italy,1444.0,214457.0,369.0,29684.0,60.36,6.113320079522863,2.0
1510,2020-05-08,Italy,1401.0,215858.0,274.0,29958.0,60.36,4.5394300861497685,2.0
1511,2020-05-09,Italy,1327.0,217185.0,243.0,30201.0,60.36,4.025844930417495,2.0
1512,2020-05-10,Italy,1083.0,218268.0,194.0,30395.0,60.36,3.214049039098741,2.0
1513,2020-05-11,Italy,802.0,219070.0,165.0,30560.0,60.36,2.7335984095427435,1.0
1514,2020-05-12,Italy,744.0,219814.0,179.0,30739.0,60.36,2.9655400927766733,1.0
1515,2020-05-13,Italy,1402.0,221216.0,172.0,30911.0,60.36,2.8495692511597084,2.0
1516,2020-05-14,Italy,888.0,222104.0,195.0,31106.0,60.36,3.2306163021868786,1.0
1517,2020-05-15,Italy,992.0,223096.0,262.0,31368.0,60.36,4.340622929092114,2.0
1518,2020-05-16,Italy,789.0,223885.0,242.0,31610.0,60.36,4.009277667329357,1.0
1519,2020-05-17,Italy,875.0,224760.0,153.0,31763.0,60.36,2.5347912524850895,1.0
1520,2020-05-18,Italy,675.0,225435.0,145.0,31908.0,60.36,2.402253147779987,1.0
1521,2020-05-19,Italy,451.0,225886.0,99.0,32007.0,60.36,1.640159045725646,1.0
1522,2020-05-20,Italy,813.0,226699.0,162.0,32169.0,60.36,2.68389662027833,1.0
1523,2020-05-21,Italy,665.0,227364.0,161.0,32330.0,60.36,2.667329357190192,1.0
1524,2020-05-22,Italy,642.0,228006.0,156.0,32486.0,60.36,2.584493041749503,1.0
1525,2020-05-23,Italy,652.0,228658.0,130.0,32616.0,60.36,2.1537442014579193,1.0
1526,2020-05-24,Italy,669.0,229327.0,119.0,32735.0,60.36,1.9715043074884029,1.0
1527,2020-05-25,Italy,531.0,229858.0,50.0,32785.0,60.36,0.828363154406892,1.0
1528,2020-05-26,Italy,300.0,230158.0,92.0,32877.0,60.36,1.5241882041086812,1.0
1529,2020-05-27,Italy,397.0,230555.0,78.0,32955.0,60.36,1.2922465208747516,1.0
1530,2020-05-28,Italy,584.0,231139.0,117.0,33072.0,60.36,1.9383697813121272,1.0
1531,2020-05-29,Italy,593.0,231732.0,70.0,33142.0,60.36,1.1597084161696487,1.0
1532,2020-05-30,Italy,516.0,232248.0,87.0,33229.0,60.36,1.4413518886679921,1.0
1533,2020-05-31,Italy,416.0,232664.0,111.0,33340.0,60.36,1.8389662027833003,1.0
1534,2020-06-01,Italy,355.0,233019.0,75.0,33415.0,60.36,1.242544731610338,1.0
1535,2020-06-02,Italy,178.0,233197.0,60.0,33475.0,60.36,0.9940357852882704,1.0
1536,2020-06-03,Italy,318.0,233515.0,55.0,33530.0,60.36,0.9111994698475812,1.0
1537,2020-06-04,Italy,321.0,233836.0,71.0,33601.0,60.36,1.1762756792577866,1.0
1538,2020-06-05,Italy,177.0,234013.0,88.0,33689.0,60.36,1.4579191517561298,1.0
1539,2020-06-06,Italy,518.0,234531.0,85.0,33774.0,60.36,1.4082173624917165,1.0
1540,2020-06-07,Italy,270.0,234801.0,72.0,33846.0,60.36,1.1928429423459244,1.0
1541,2020-06-08,Italy,197.0,234998.0,53.0,33899.0,60.36,0.8780649436713055,1.0
1542,2020-06-09,Italy,280.0,235278.0,65.0,33964.0,60.36,1.0768721007289597,1.0
1543,2020-06-10,Italy,283.0,235561.0,79.0,34043.0,60.36,1.3088137839628893,1.0
1544,2020-06-11,Italy,202.0,235763.0,71.0,34114.0,60.36,1.1762756792577866,1.0
1545,2020-06-12,Italy,379.0,236142.0,53.0,34167.0,60.36,0.8780649436713055,1.0
1546,2020-06-13,Italy,163.0,236305.0,56.0,34223.0,60.36,0.927766732935719,1.0
1547,2020-06-14,Italy,346.0,236651.0,78.0,34301.0,60.36,1.2922465208747516,1.0
1548,2020-06-15,Italy,338.0,236989.0,44.0,34345.0,60.36,0.7289595758780649,1.0
1549,2020-06-16,Italy,301.0,237290.0,26.0,34371.0,60.36,0.43074884029158383,1.0
1550,2020-06-17,Italy,210.0,237500.0,34.0,34405.0,60.36,0.5632869449966865,1.0
1551,2020-06-18,Italy,328.0,237828.0,43.0,34448.0,60.36,0.7123923127899271,1.0
1552,2020-06-19,Italy,331.0,238159.0,66.0,34514.0,60.36,1.0934393638170974,1.0
1553,2020-06-20,Italy,-148.0,238011.0,47.0,34561.0,60.36,0.7786613651424785,0.0
1554,2020-06-21,Italy,264.0,238275.0,49.0,34610.0,60.36,0.8117958913187542,1.0
1555,2020-06-22,Italy,224.0,238499.0,24.0,34634.0,60.36,0.3976143141153082,1.0
1556,2020-06-23,Italy,221.0,238720.0,23.0,34657.0,60.36,0.3810470510271703,1.0
1557,2020-06-24,Italy,113.0,238833.0,18.0,34675.0,60.36,0.2982107355864811,1.0
1558,2020-06-25,Italy,577.0,239410.0,-31.0,34644.0,60.36,-0.513585155732273,1.0
1559,2020-06-26,Italy,296.0,239706.0,34.0,34678.0,60.36,0.5632869449966865,1.0
1560,2020-06-27,Italy,255.0,239961.0,30.0,34708.0,60.36,0.4970178926441352,1.0
1561,2020-06-28,Italy,175.0,240136.0,8.0,34716.0,60.36,0.13253810470510272,1.0
1562,2020-06-29,Italy,174.0,240310.0,22.0,34738.0,60.36,0.36447978793903246,1.0
1563,2020-06-30,Italy,126.0,240436.0,6.0,34744.0,60.36,0.09940357852882704,1.0
1564,2020-07-01,Italy,142.0,240578.0,23.0,34767.0,60.36,0.3810470510271703,1.0
1565,2020-07-02,Italy,182.0,240760.0,21.0,34788.0,60.36,0.34791252485089463,1.0
1566,2020-07-03,Italy,201.0,240961.0,30.0,34818.0,60.36,0.4970178926441352,1.0
